Video Card,Video Card Price,gpu_chipset,gpu_memory,gpu_core_clock,gpu_boostclock,gpu_color
Asus GeForce GTX 1660 SUPER 6 GB STRIX GAMING,86500,GeForce GTX 1660 SUPER,6 GB,1530 MHz,1815 MHz,Black / Silver
Gigabyte GeForce GTX 1050 2 GB WINDFORCE,28000,GeForce GTX 1050,2 GB,1354 MHz,1493 MHz,Black / Orange
Zotac GeForce RTX 2080 SUPER 8 GB GAMING AMP,180600,GeForce RTX 2080 SUPER,8 GB,1650 MHz,1845 MHz,Black
Asus Radeon RX 6800 16 GB TUF GAMING OC,175000,Radeon RX 6800,16 GB,1700 MHz,2190 MHz,Black
Gigabyte GeForce RTX 2080 Ti 11 GB AORUS,245000,GeForce RTX 2080 Ti,11 GB,1545 MHz,1695 MHz,Black
Zotac GeForce RTX 2080 Ti 11 GB AMP Extreme,238500,GeForce RTX 2080 Ti,11 GB,1545 MHz,1815 MHz,Black / Silver
MSI GeForce GT 710 1 GB GT LP,10000,GeForce GT 710,1 GB,954 MHz,Black,129 mm
PowerColor Radeon RX 6800 XT 16 GB Red Dragon OC,178500,Radeon RX 6800 XT,16 GB,1825 MHz,2310 MHz,Black
Zotac GeForce GTX 1650 G5 4 GB GAMING Low Profile,55900,GeForce GTX 1650 G5,4 GB,1485 MHz,1665 MHz,Black
EVGA GeForce GTX 980 Ti 6 GB CLASSIFIED GAMING ACX 2.0+,59000,GeForce GTX 980 Ti,6 GB,1000 MHz,1190 MHz,Black / Silver
XFX Radeon RX 5600 XT 6 GB THICC III Pro,70000,Radeon RX 5600 XT,6 GB,1247 MHz,1750 MHz,Black
Asus GeForce RTX 2060 6 GB DUAL MINI OC,93000,GeForce RTX 2060,6 GB,1365 MHz,1750 MHz,Black
MSI GeForce GTX 1060 6GB 6 GB ARMOR OCV1,70000,GeForce GTX 1060 6GB,6 GB,1544 MHz,1759 MHz,Black / White
MSI GeForce GTX 1080 8 GB GAMING Z,120000,GeForce GTX 1080,8 GB,1607 MHz,1911 MHz,Black / Red
Zotac GeForce RTX 2070 SUPER 8 GB GAMING AMP,149000,GeForce RTX 2070 SUPER,8 GB,1605 MHz,1800 MHz,Black
EVGA GeForce GT 740 2 GB Superclocked,14000,GeForce GT 740,2 GB,1059 MHz,Black / Silver,153 mm
EVGA GeForce GTX 950 2 GB SC GAMING,15400,GeForce GTX 950,2 GB,1127 MHz,1317 MHz,Black
MSI GeForce GTX 1070 Ti 8 GB DUKE,118000,GeForce GTX 1070 Ti,8 GB,1607 MHz,1683 MHz,Black
Gigabyte GeForce GTX 970 4 GB GAMING,35000,GeForce GTX 970,4 GB,1178 MHz,1329 MHz,Black
GALAX GeForce RTX 3080 10 GB SG,235000,GeForce RTX 3080 10GB,10 GB,1440 MHz,1725 MHz,Black
Asus GeForce RTX 2080 8 GB Turbo,175000,GeForce RTX 2080,8 GB,1515 MHz,Black,268 mm
MSI GeForce GTX 1660 Ti 6 GB ARMOR OC,115000,GeForce GTX 1660 Ti,6 GB,1500 MHz,1860 MHz,Black / White
Sapphire Radeon RX 5500 XT 8 GB NITRO+ SE,88000,Radeon RX 5500 XT,8 GB,1607 MHz,1845 MHz,Black
MSI GeForce RTX 3090 24 GB SUPRIM,360000,GeForce RTX 3090,24 GB,1395 MHz,1815 MHz,Black / Silver
MSI GeForce GTX 1060 6GB 6 GB GAMING,70000,GeForce GTX 1060 6GB,6 GB,1506 MHz,1746 MHz,Black / Red
Asus GeForce GTX 1660 Ti 6 GB STRIX GAMING OC,102500,GeForce GTX 1660 Ti,6 GB,1500 MHz,1890 MHz,Black
EVGA GeForce GTX 980 4 GB HYBRID,31000,GeForce GTX 980,4 GB,1291 MHz,1393 MHz,Black / Silver
MSI Radeon RX 480 8 GB GAMING X,63500,Radeon RX 480,8 GB,1120 MHz,1316 MHz,Black / Red
