Power Supply,Power Supply Price,psu_efficiency_rating,psu_wattage,Inventory
ADATA XPG CORE Reactor 750 W 80+ Gold Certified Fully Modular ATX,18500,80+ Gold,750 W,1
SeaSonic FOCUS Plus Platinum 850 W 80+ Platinum Certified  Modular ATX,44000,80+ Platinum,850 W,1
EVGA 100-W1-0600-K1 600 W 80+ Certified  Modular ATX,16500,80+,600 W,1
NZXT C 750 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,750 W,1
Super Flower Leadex V Pro 1000 W 80+ Gold Certified  Modular ATX,40000,80+ Gold,1000 W,1
Cooler Master MasterWatt 750 W 80+ Bronze Certified  Modular ATX,19000,80+ Bronze,750 W,1
SHARKOON SilentStorm Cool Zero 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
EVGA G5 850 W 80+ Gold Certified  Modular ATX,26000,80+ Gold,850 W,1
SeaSonic FOCUS GX 750 W 80+ Gold Certified  Modular ATX,28500,80+ Gold,750 W,1
Corsair TXM Gold 650 W 80+ Gold Certified  Modular ATX,18500,80+ Gold,650 W,1
Fractal Design Ion+ 760 W 80+ Platinum Certified  Modular ATX,23100,80+ Platinum,760 W,1
Silverstone Strider 550 W 80+ Gold Certified  Modular ATX,16000,80+ Gold,550 W,1
Corsair CX 500 W 80+ Bronze Certified  Modular ATX,13500,80+ Bronze,500 W,1
SeaSonic FOCUS SGX 650 W 80+ Gold Certified  Modular SFX,18500,80+ Gold,650 W,1
Corsair HX Platinum 750 W 80+ Platinum Certified  Modular ATX,32000,80+ Platinum,750 W,1
SeaSonic PRIME PX 1000 W 80+ Platinum Certified  Modular ATX,54000,80+ Platinum,1000 W,1
Corsair HXi 1200 W 80+ Platinum Certified  Modular ATX,58500,80+ Platinum,1200 W,1
SeaSonic PRIME Platinum 850 W 80+ Platinum Certified  Modular ATX,45500,80+ Platinum,850 W,1
Silverstone SFX 300 W 80+ Bronze Certified  Modular SFX,23000,80+ Bronze,300 W,1
EVGA B5 750 W 80+ Bronze Certified  Modular ATX,22000,80+ Bronze,750 W,1
GAMDIAS KRATOS M1 B 750 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,750 W,1
Asus ROG Strix 850 W 80+ Gold Certified  Modular ATX,34500,80+ Gold,850 W,1
Raidmax Cobra 500 W 80+ Bronze Certified  Modular ATX,12500,80+ Bronze,500 W,1
Asus ROG STRIX G 850 W 80+ Gold Certified  Modular ATX,35000,80+ Gold,850 W,1
Corsair RMi 850 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,850 W,1
ADATA XPG CORE Reactor 850 W 80+ Gold Certified Fully Modular ATX,25500,80+ Gold,850 W,1
Super Flower Leadex III Gold 750 W 80+ Gold Certified  Modular ATX,29000,80+ Gold,750 W,1
ARESGAME AGT 1000 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,1000 W,1
EVGA P2 1000 W 80+ Platinum Certified  Modular ATX,68000,80+ Platinum,1000 W,1
Corsair Vengeance 750 W 80+ Silver Certified  Modular ATX,25000,80+ Silver,750 W,1
be quiet! Pure Power 11 CM 700 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,700 W,1
be quiet! Straight Power 11 650 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,650 W,1
Corsair AXi 1600 W 80+ Titanium Certified  Modular ATX,135000,80+ Titanium,1600 W,1
Enermax Revolution D.F. 850 W 80+ Gold Certified  Modular ATX,29000,80+ Gold,850 W,1
EVGA BR 600 W 80+ Bronze Certified  Modular ATX,16500,80+ Bronze,600 W,1
Cooler Master MWE Gold 750 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,750 W,1
Cooler Master MWE Gold 550 W 80+ Gold Certified  Modular ATX,13500,80+ Gold,550 W,1
EVGA GQ 750 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,750 W,1
Corsair AX 860 W 80+ Platinum Certified  Modular ATX,55000,80+ Platinum,860 W,1
be quiet! Straight Power 11 1000 W 80+ Platinum Certified  Modular ATX,32000,80+ Platinum,1000 W,1
Corsair RMx (2018) 550 W 80+ Gold Certified  Modular ATX,14000,80+ Gold,550 W,1
Cooler Master MWE Bronze V2 750 W 80+ Bronze Certified  Modular ATX,20500,80+ Bronze,750 W,1
EVGA GQ 850 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,850 W,1
Corsair CX 750 W 80+ Bronze Certified  Modular ATX,19500,80+ Bronze,750 W,1
Cooler Master MWE Bronze V2 450 W 80+ Bronze Certified  Modular ATX,14500,80+ Bronze,450 W,1
be quiet! Pure Power 11 CM 400 W 80+ Gold Certified  Modular ATX,14000,80+ Gold,400 W,1
Gigabyte P GM 850 W 80+ Gold Certified  Modular ATX,26700,80+ Gold,850 W,1
Cooler Master MWE GOLD V2 750 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,750 W,1
EVGA BR 500 W 80+ Bronze Certified  Modular ATX,14000,80+ Bronze,500 W,1
SeaSonic PRIME Ultra Titanium 650 W 80+ Titanium Certified  Modular ATX,31000,80+ Titanium,650 W,1
Corsair CSM 450 W 80+ Gold Certified  Modular ATX,13000,80+ Gold,450 W,1
Fractal Design Ion SFX-L 650 W 80+ Gold Certified  Modular SFX,16500,80+ Gold,650 W,1
NZXT HALE82 V2 700 W 80+ Bronze Certified  Modular ATX,18000,80+ Bronze,700 W,1
Corsair AX 1000 W 80+ Titanium Certified  Modular ATX,81000,80+ Titanium,1000 W,1
Corsair RMi 750 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,750 W,1
Silverstone SFX 800 W 80+ Titanium Certified  Modular SFX,40000,80+ Titanium,800 W,1
CoolMax CX-550B 550 W  Certified No Modular ATX,13500,0,550 W,1
Cooler Master V Semi-Modular 750 W 80+ Gold Certified  Modular ATX,25000,80+ Gold,750 W,1
Antec High Current Gamer Extreme 1000 W  Certified Fully Modular ATX,28000,0,1000 W,1
Gigabyte P-B 550 W 80+ Bronze Certified  Modular ATX,15000,80+ Bronze,550 W,1
EVGA GD (2019) 700 W 80+ Gold Certified  Modular ATX,19000,80+ Gold,700 W,1
Phanteks AMP 750 W 80+ Gold Certified  Modular ATX,22500,80+ Gold,750 W,1
Corsair CXM 750 W 80+ Bronze Certified  Modular ATX,25500,80+ Bronze,750 W,1
Corsair HX Platinum 850 W 80+ Platinum Certified  Modular ATX,36500,80+ Platinum,850 W,1
SeaSonic PRIME TX 750 W 80+ Titanium Certified  Modular ATX,42000,80+ Titanium,750 W,1
SeaSonic PRIME TX 850 W 80+ Titanium Certified  Modular ATX,47500,80+ Titanium,850 W,1
Thermaltake Smart 500 W 80+ Certified  Modular ATX,15000,80+,500 W,1
Asus ROG STRIX G 1000 W 80+ Gold Certified  Modular ATX,38000,80+ Gold,1000 W,1
be quiet! Pure Power 11 600 W 80+ Gold Certified  Modular ATX,17000,80+ Gold,600 W,1
Corsair VS 600 W 80+ Certified  Modular ATX,16500,80+,600 W,1
SeaSonic FOCUS Plus Gold 1000 W 80+ Gold Certified  Modular ATX,45000,80+ Gold,1000 W,1
Corsair HX Platinum 1200 W 80+ Platinum Certified  Modular ATX,73000,80+ Platinum,1200 W,1
Gigabyte P GM 1000 W 80+ Gold Certified  Modular ATX,29000,80+ Gold,1000 W,1
EVGA G2 550 W 80+ Gold Certified  Modular ATX,14000,80+ Gold,550 W,1
be quiet! System Power 9 600 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,600 W,1
Corsair RMi 1000 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,1000 W,1
SeaSonic PRIME Platinum 1200 W 80+ Platinum Certified  Modular ATX,63500,80+ Platinum,1200 W,1
EVGA P2 750 W 80+ Platinum Certified  Modular ATX,27000,80+ Platinum,750 W,1
Asus ROG Strix 550 W 80+ Gold Certified  Modular ATX,24500,80+ Gold,550 W,1
Thermaltake Toughpower GX2 600 W 80+ Gold Certified  Modular ATX,21000,80+ Gold,600 W,1
ADATA XPG PYLON 650 W 80+ Bronze Certified No Modular ATX,11500,80+ Bronze,650 W,1
EVGA 100-W1-0500-KR 500 W 80+ Certified  Modular ATX,13500,80+,500 W,1
GAMDIAS KRATOS M1 B 600 W 80+ Bronze Certified  Modular ATX,12000,80+ Bronze,600 W,1
SeaSonic PRIME 1000 W 80+ Gold Certified  Modular ATX,38500,80+ Gold,1000 W,1
Cooler Master V Gold V2 850 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,850 W,1
Antec True Power 550 W  Certified Fully Modular ATX,13000,0,550 W,1
MSI MPG A-GF 750 W 80+ Gold Certified  Modular ATX,23000,80+ Gold,750 W,1
Corsair CSM 650 W 80+ Gold Certified  Modular ATX,18000,80+ Gold,650 W,1
EVGA SuperNOVA NEX750B BRONZE 750 W 80+ Bronze Certified  Modular ATX,26000,80+ Bronze,750 W,1
EVGA BQ 500 W 80+ Bronze Certified  Modular ATX,14800,80+ Bronze,500 W,1
EVGA BQ 750 W 80+ Bronze Certified  Modular ATX,23000,80+ Bronze,750 W,1
Cooler Master MasterWatt Maker 1200 W 80+ Titanium Certified  Modular ATX,32000,80+ Titanium,1200 W,1
Deepcool GamerStorm DQ-M 650 W 80+ Gold Certified  Modular ATX,22500,80+ Gold,650 W,1
Fractal Design Ion+ 660 W 80+ Platinum Certified  Modular ATX,18000,80+ Platinum,660 W,1
Thermaltake Toughpower GF2 ARGB 850 W 80+ Gold Certified  Modular ATX,24000,80+ Gold,850 W,1
be quiet! Pure Power 11 CM 600 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,600 W,1
EVGA B5 550 W 80+ Bronze Certified  Modular ATX,16500,80+ Bronze,550 W,1
Apevia Prestige 1000 W 80+ Gold Certified  Modular ATX,19500,80+ Gold,1000 W,1
Gigabyte P-B 450 W 80+ Bronze Certified  Modular ATX,13200,80+ Bronze,450 W,1
EVGA GS 650 W 80+ Gold Certified  Modular ATX,17000,80+ Gold,650 W,1
EVGA SuperNOVA GT 650 W 80+ Gold Certified  Modular ATX,20000,80+ Gold,650 W,1
EVGA GD (2019) 600 W 80+ Gold Certified  Modular ATX,15500,80+ Gold,600 W,1
ARESGAME AGV 750 W 80+ Bronze Certified  Modular ATX,15500,80+ Bronze,750 W,1
EVGA GQ 650 W 80+ Gold Certified  Modular ATX,17500,80+ Gold,650 W,1
Thermaltake Toughpower Grand RGB 850 W 80+ Gold Certified  Modular ATX,25400,80+ Gold,850 W,1
EVGA G2 850 W 80+ Gold Certified  Modular ATX,22700,80+ Gold,850 W,1
Super Flower Leadex III Gold 850 W 80+ Gold Certified  Modular ATX,30000,80+ Gold,850 W,1
Corsair TXM Gold 850 W 80+ Gold Certified  Modular ATX,27500,80+ Gold,850 W,1
Super Flower Leadex III ARGB Pro 850 W 80+ Gold Certified  Modular ATX,33000,80+ Gold,850 W,1
EVGA G1+ 1000 W 80+ Gold Certified  Modular ATX,35000,80+ Gold,1000 W,1
Corsair CX (2017) 450 W 80+ Bronze Certified  Modular ATX,13000,80+ Bronze,450 W,1
SeaSonic X 750 W 80+ Gold Certified  Modular ATX,25000,80+ Gold,750 W,1
EVGA SuperNOVA GA 550 W 80+ Gold Certified  Modular ATX,16500,80+ Gold,550 W,1
Super Flower Leadex Platinum 1000 W 80+ Platinum Certified  Modular ATX,43000,80+ Platinum,1000 W,1
Corsair VS 500 W 80+ Certified  Modular ATX,13500,80+,500 W,1
Antec Earthwatts Gold Pro 650 W  Certified Semi Modular ATX,14000,0,650 W,1
RIOTORO ONYX 650 W 80+ Bronze Certified  Modular ATX,14000,80+ Bronze,650 W,1
Thermaltake Smart BX1 450 W 80+ Bronze Certified  Modular ATX,13000,80+ Bronze,450 W,1
Cooler Master MWE Gold 650 W 80+ Gold Certified  Modular ATX,16500,80+ Gold,650 W,1
Corsair VS 450 W 80+ Certified  Modular ATX,12000,80+,450 W,1
FSP Group SFX Pro 450 W 80+ Bronze Certified  Modular SFX,12000,80+ Bronze,450 W,1
Cooler Master V Platinum 1000 W 80+ Platinum Certified  Modular ATX,35000,80+ Platinum,1000 W,1
NZXT C 850 W 80+ Gold Certified  Modular ATX,23500,80+ Gold,850 W,1
Deepcool DQ-M-V2L 850 W 80+ Gold Certified  Modular ATX,30000,80+ Gold,850 W,1
NZXT C 650 W 80+ Gold Certified  Modular ATX,16500,80+ Gold,650 W,1
EVGA BA 500 W 80+ Bronze Certified  Modular ATX,15000,80+ Bronze,500 W,1
Cooler Master MasterWatt 650 W 80+ Bronze Certified  Modular ATX,17500,80+ Bronze,650 W,1
EVGA G1+ 850 W 80+ Gold Certified  Modular ATX,22500,80+ Gold,850 W,1
Corsair AX 850 W 80+ Gold Certified  Modular ATX,30000,80+ Gold,850 W,1
EVGA G3 1000 W 80+ Gold Certified  Modular ATX,28000,80+ Gold,1000 W,1
Enhance ENP-7660 600 W 80+ Platinum Certified  Modular Flex ATX,23500,80+ Platinum,600 W,1
