Storage,Storage Price,storage_capacity,storage_type,storage_form_factor,Inventory
Western Digital WD_BLACK SN750 250 GB,3500,250 GB,SSD,M.2-2280,0
Western Digital AV-GP 4 TB,32000,4 TB,5400RPM,"3.5""",0
Seagate EXOS Enterprise 14 TB,73000,14 TB,7200RPM,"3.5""",0
Western Digital WD Blue 500 GB,9000,500 GB,5400RPM,"2.5""",0
Seagate Momentus SpinPoint 2 TB,19000,2 TB,5400RPM,"2.5""",0
Western Digital Caviar Black 1 TB,8000,1 TB,7200RPM,"3.5""",0
Crucial P5 500 GB,13400,500 GB,SSD,M.2-2280,0
Samsung Spinpoint M8 1 TB,24700,1 TB,5400RPM,"2.5""",0
Intel 730 Series 480 GB,12700,480 GB,SSD,"2.5""",0
Toshiba DT01ACA100 1 TB,29000,1 TB,7200RPM,"3.5""",0
Sabrent Rocket 2 TB,48000,2 TB,SSD,M.2-2242,0
Western Digital Black 5 TB,30000,5 TB,7200RPM,"3.5""",0
Team MS30 256 GB,12000,256 GB,SSD,M.2-2242,0
Hitachi 0J11561 500 GB,16500,500 GB,5400RPM,"2.5""",0
Team T-Force Vulcan G 1 TB,24700,1 TB,SSD,"2.5""",0
Intel 660p Series 2.048 TB,43000,2.048 TB,SSD,M.2-2280,0
Seagate FireCuda 530 2 TB,59000,2 TB,SSD,M.2-2280,0
Patriot Viper Gaming VP4100 1 TB,27500,1 TB,SSD,M.2-2280,0
Western Digital AV 320 GB,47500,320 GB,7200RPM,"3.5""",0
Western Digital AV-GP 1 TB,18000,1 TB,7200RPM,"3.5""",0
Team T-Force Cardea Zero Z330 1 TB,24700,1 TB,SSD,M.2-2280,0
Western Digital Blue Mobile 1 TB,11000,1 TB,5400RPM,"2.5""",0
Seagate BarraCuda 510 1 TB,16000,1 TB,SSD,M.2-2280,0
Hitachi Deskstar 320 GB,9000,320 GB,7200RPM,"3.5""",0
Seagate BarraCuda Q5 500 GB,17000,500 GB,SSD,M.2-2280,0
Western Digital WD Black 4 TB,30000,4 TB,7200RPM,"3.5""",0
Western Digital BLACK SERIES 3 TB,60000,3 TB,7200RPM,"3.5""",0
Western Digital Red Pro 4 TB,38000,4 TB,7200RPM,"3.5""",0
Team CX2 2 TB,24700,2 TB,SSD,"2.5""",0
Western Digital Red Pro 2 TB,22000,2 TB,7200RPM,"3.5""",0
Sabrent Rocket 4.0 500 GB,17500,500 GB,SSD,M.2-2280,0
Seagate BarraCuda Q5 2 TB,17000,2 TB,SSD,M.2-2280,0
Toshiba DT01ACA300 3 TB,20000,3 TB,7200RPM,"3.5""",0
Inland 2TB QLC NVME 2 TB,48000,2 TB,SSD,M.2-2280,0
Hitachi Ultrastar 1 TB,27500,1 TB,7200RPM,"3.5""",0
Silicon Power A55 128 GB,1000,128 GB,SSD,M.2-2280,0
PNY XLR8 CS3030 250 GB,3500,250 GB,SSD,M.2-2280,0
PNY XLR8 CS3030 500 GB,13000,500 GB,SSD,M.2-2280,0
Western Digital Red Pro 8 TB,56000,8 TB,7200RPM,"3.5""",0
Western Digital Red 2 TB,20500,2 TB,5400RPM,"3.5""",0
Samsung 960 EVO 1 TB,26500,1 TB,SSD,M.2-2280,0
Team MS30 1 TB,24700,1 TB,SSD,M.2-2280,0
Samsung 870 Evo 250 GB,6000,250 GB,SSD,"2.5""",0
Western Digital WD Red Plus 14 TB,61500,14 TB,7200RPM,"3.5""",0
Kingston A400 960 GB,24500,960 GB,SSD,"2.5""",0
ADATA XPG GAMMIX S11 Pro 2 TB,45000,2 TB,SSD,M.2-2280,0
Corsair MP600 Force Series Gen4 500 GB,13000,500 GB,SSD,M.2-2280,0
Western Digital Black NVMe 1 TB,28000,1 TB,SSD,M.2-2280,0
Western Digital AV-GP 2 TB,24500,2 TB,5400RPM,"3.5""",0
Seagate Archive 8 TB,80000,8 TB,5900RPM,"3.5""",0
ADATA Swordfish 500 GB,17000,500 GB,SSD,M.2-2280,0
HP EX950 2 TB,48000,2 TB,SSD,M.2-2280,0
Crucial P1 2 TB,35000,2 TB,SSD,M.2-2280,0
Samsung 850 EVO 250 GB,7500,250 GB,SSD,M.2-2280,0
Seagate IronWolf NAS 3 TB,24500,3 TB,5900RPM,"3.5""",0
Samsung 960 EVO 250 GB,7000,250 GB,SSD,M.2-2280,0
Team GX1 960 GB,24700,960 GB,SSD,"2.5""",0
Samsung 960 EVO 500 GB,18500,500 GB,SSD,M.2-2280,0
ADATA XPG SPECTRIX S40G RGB 1 TB,23500,1 TB,SSD,M.2-2280,0
Samsung 860 Pro 1 TB,26500,1 TB,SSD,"2.5""",0
ADATA XPG SPECTRIX S40G RGB 256 GB,8600,256 GB,SSD,M.2-2280,0
Western Digital Blue Mobile 2 TB,20000,2 TB,5400RPM,"2.5""",0
Inland 480 GB SSD 480 GB,13000,480 GB,SSD,"2.5""",0
Seagate Exos X16 12 TB,56000,12 TB,7200RPM,"3.5""",0
Seagate Enterprise NAS 5 TB,43000,5 TB,7200RPM,"3.5""",0
Crucial P5 2 TB,43000,2 TB,SSD,M.2-2280,0
Gigabyte AORUS NVMe Gen4 1 TB,27500,1 TB,SSD,M.2-2280,0
Samsung 860 Pro 256 GB,9200,256 GB,SSD,"2.5""",0
Corsair Force LE 240 GB,8600,240 GB,SSD,"2.5""",0
Seagate FireCuda 520 2 TB,59000,2 TB,SSD,M.2-2280,0
Hitachi 0F14683 4 TB,78000,4 TB,7200RPM,"3.5""",0
Seagate IronWolf NAS 2 TB,15000,2 TB,5900RPM,"3.5""",0
Western Digital Gold 2 TB,25000,2 TB,7200RPM,"3.5""",0
Gigabyte GP-GSM2NE8512GNTD 512 GB,14000,512 GB,SSD,M.2-2280,0
SanDisk SSD Plus 2 TB,45000,2 TB,SSD,"2.5""",0
ADATA SU635 240 GB,7000,240 GB,SSD,"2.5""",0
Toshiba N300 6 TB,47500,6 TB,7200RPM,"3.5""",0
Seagate BarraCuda 120 500 GB,17000,500 GB,SSD,"2.5""",0
Samsung 870 Evo 4 TB,75000,4 TB,SSD,"2.5""",0
Intel 665p 1 TB,27500,1 TB,SSD,M.2-2280,0
Crucial M500 960 GB,18500,960 GB,SSD,"2.5""",0
Seagate Nytro Enterprise 3.84 TB,40000,3.84 TB,SSD,"2.5""",0
Kingston SSDNow E100 400 GB,4800,400 GB,SSD,"2.5""",0
Samsung 860 Evo 250 GB,6800,250 GB,SSD,M.2-2280,0
Sabrent Rocket Q4 4 TB,78000,4 TB,SSD,M.2-2280,0
Western Digital Gold 12 TB,36000,12 TB,7200RPM,"3.5""",0
Toshiba MK5056GSY 500 GB,17000,500 GB,7200RPM,"2.5""",0
Inland 1TBM 1 TB,27500,1 TB,SSD,"2.5""",0
Hitachi Deskstar 1 TB,27500,1 TB,7200RPM,"3.5""",0
Patriot Burst 240 GB,6000,240 GB,SSD,"2.5""",0
Seagate FireCuda 120 4 TB,92000,4 TB,SSD,"2.5""",0
ADATA XPG SPECTRIX S40G RGB 512 GB,15500,512 GB,SSD,M.2-2280,0
